technique,q_num,rank,store_score,cosine_sim,chunk_len,preview,latency_ms,source,expected_source
token-based chunking,3,1,0.6659213304519653,0.6556366384944681,2026,"(1) ""Food establishment"" means an operation that: (a) stores, prepares, packages, serves, vends FOOD directly to the CONSUMER, or otherwise provides FOOD for hu",5.16,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,3,2,0.6495249271392822,0.6542252966734045,2002,and ice that are not POTENTIALLY HAZARDOUS FOOD and that are dispensed from APPROVED bulk dispensing units. 114347. Floors TEMPORARY FOOD FACILITIES that handle,5.16,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,3,3,0.6423693299293518,0.6203900972731895,2045,"(A) Effective partitioning and self-closing doors separate the common dining areas from FOOD storage or FOOD PREPARATION areas. (B) CONDIMENTs, EQUIPMENT, and U",5.16,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,3,4,0.6398465037345886,0.6736683660876667,2103,responsible for operating the HOST FACILITY. (c) A PERMIT application shall be submitted to the ENFORCEMENT AGENCY pursuant to Article 1 (commencing with Sectio,5.16,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,3,5,0.6259883642196655,0.6403167190561005,2576,Annex 3 - 13 Chapter 2. Management and Personnel Responsibility 2-101. 11 Assignment. D esignation of a person in charge during all hours of operations ensures ,5.16,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,4,1,0.6993681192398071,0.6003796664340761,2274,"food-contact surfaces and ultimately in the food being prepared or served. 7-206.13 Tracking Powders, Pest Control and Monitoring. The use of tracking powder pe",5.66,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
token-based chunking,4,2,0.6963199973106384,0.6641523530814268,1958,"82. Effective food-contact notifications are listed at http://www.accessdata.fda.gov/scripts/fcn/fcnNavigation.cfm?rpt=fcsListing&displayAll=f alse&page=17, and",5.66,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
token-based chunking,4,3,0.6863836050033569,0.6217863782883011,1854,"Storage Containers Identified with Common Name of Food (C) 3-305.13 Vended Time/Temperature Control for Safety Food, Original Container (C) 3-601.11 Standards o",5.66,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
token-based chunking,4,4,0.6704129576683044,0.5818139407644489,1808,"and maintenance of a FOOD ESTABLISHMENT, such as for the cleaning and SANITIZING of EQUIPMENT and UTENSILS and the control of insects and rodents, shall be allo",5.66,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
token-based chunking,4,5,0.6397075057029724,0.5869795681370382,1755,"and Enforcement No Changes. Annex 2. References 1-201.10 Amended to revise § 1-201.10 to update titles, web links and dates for the following references: #3 - I",5.66,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
token-based chunking,5,1,0.5552465915679932,0.5656560103663052,1854,"Storage Containers Identified with Common Name of Food (C) 3-305.13 Vended Time/Temperature Control for Safety Food, Original Container (C) 3-601.11 Standards o",5.61,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,5,2,0.5406492948532104,0.5219643526351438,1976,"A FOOD FACILITY shall at all times be constructed, equipped, maintained, and operated as to prevent the entrance and harborage of animals, birds, and VERMIN, in",5.61,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,5,3,0.505715012550354,0.42803870542530587,2376,"necessary to minimize the development of odors, prevent such waste from becoming an attractant and harborage or breeding place for insects and rodents, and prev",5.61,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,5,4,0.5019586682319641,0.5049096652262979,2338,Toilet room doors must remain closed except during cleaning operations to prevent insect and rodent entrance and the associated potential for the spread of dise,5.61,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
token-based chunking,5,5,0.4668924808502197,0.5215516904701376,2014,Requirements shall be based on proposed method of operation and number of MOBILE FOOD FACILITIES serviced. (b) MOBILE SUPPORT UNITs shall meet all applicable re,5.61,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,1,1,0.5565043091773987,0.5516816982211926,889,"Local Enforcement Agency The local ENFORCEMENT AGENCY, as set forth in Section 113713, shall implement, administer, and enforce this chapter. The DEPARTMENT may",7.45,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,1,2,0.5255252718925476,0.509186821960208,1560,"County of Santa Clara Department of Environmental Health Consumer Protection Division 1555 Berger Drive, Suite 300 San Jose, CA 95112-2716 (408)918-3400 FAX (40",7.45,SCC-DEH-placarding-workshop-handout.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,1,3,0.5083186626434326,0.5200264761515897,2609,A new placard may be issued at that time after a complete inspection of the facility. SCORE:_____ NS HOW SCORE IS CALCULATED Each violation category is assigned,7.45,SCC-DEH-placarding-workshop-handout.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,1,4,0.4364696741104126,0.4269816474696462,3522,(C) The examination consists of at least 40 questions regarding the required subject matter. (D) A minimum score of 70 percent on the examination is required to,7.45,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,1,5,0.4214712679386139,0.3924670642034006,1221,You may either purchas books or a pdf file that includes current legislation. • AB 1325 Microenterprise Kitchen Operations • AB 1217 Business Pandemic Relief • ,7.45,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,2,1,0.578786313533783,0.5627056973870289,884,"Premises and Facilities 114257. All facilities, equipment, and utensils to be kept clean, operative, and in good repair All PREMISES of a FOOD facility shall be",6.96,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,2,2,0.5676808953285217,0.5959647788321605,647," Ensure all food is obtained from an approved source. VIOLATIONS THAT MAY WARRANT THE IMMEDIATE CLOSURE OF A FACILITY:  Vermin infestation. Keep cockroaches, ",6.96,SCC-DEH-placarding-workshop-handout.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,2,3,0.4822782874107361,0.4596100074337376,5125,"120 114259.3. Insect control devices, design and installation (a) Insect control devices that are used to electrocute or stun flying insects shall be designed t",6.96,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,2,4,0.47207969427108765,0.4583633539842214,3791,"), and as provided in Section 36.104 of Title 28 of the Code of Federal Regulations. All guide dogs, signal dogs, and service dogs shall be used and properly id",6.96,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,2,5,0.45111721754074097,0.45446289128865225,1441,"2006. Interactions Affecting the Proliferation and Control of Human Pathogens on Edible Plants. J. Food Sci. 71(8), R89 – R99. FDA Food Code 2022 Annex 2. Refer",6.96,FDA-FoodCode-2022-01182023.pdf,SCC-DEH-placarding-workshop-handout.pdf
semantic chunking,3,1,0.7076756358146667,0.6885646860672132,438,"113874. Premises ""PREMISES"" means: (a) The FOOD FACILITY, its contents, and the contiguous land or property and its facilities and contents that are under the c",6.48,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,3,2,0.6246234178543091,0.6432357843255636,884,"Premises and Facilities 114257. All facilities, equipment, and utensils to be kept clean, operative, and in good repair All PREMISES of a FOOD facility shall be",6.48,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,3,3,0.6181178092956543,0.6295572968826946,5398,"Permanent Food Facilities 114265. Applicable requirements All PERMANENT FOOD FACILITIES shall meet the applicable requirements in Chapters 1 to 8, inclusive, an",6.48,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,3,4,0.6149903535842896,0.6276458890544248,7254,"113786. Food-contact surface ""FOOD-CONTACT SURFACE"" means either of the following: (a) A surface of EQUIPMENT or a UTENSIL with which FOOD normally comes into c",6.48,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,3,5,0.6148635149002075,0.6685250552603594,647," Ensure all food is obtained from an approved source. VIOLATIONS THAT MAY WARRANT THE IMMEDIATE CLOSURE OF A FACILITY:  Vermin infestation. Keep cockroaches, ",6.48,SCC-DEH-placarding-workshop-handout.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,4,1,0.6352981925010681,0.37209901285928293,191,"17, No. 1, in: http://wwwnc.cdc.gov/eid/article/17/1/p2- 1101_article.htm 21. The Public Health Service Act, 42 U.S.C. Section 243. General Grant of Authority f",6.43,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
semantic chunking,4,2,0.6219643950462341,0.6073547589592001,1655,"97:258-260. 2. Code of Federal Regulations, Title 9, Subpart C, Section 424.21(b) Food ingredients and sources of radiation. 3. Code of Federal Regulations, Tit",6.43,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
semantic chunking,4,3,0.6097948551177979,0.5802468342989326,1441,"2006. Interactions Affecting the Proliferation and Control of Human Pathogens on Edible Plants. J. Food Sci. 71(8), R89 – R99. FDA Food Code 2022 Annex 2. Refer",6.43,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
semantic chunking,4,4,0.5985486507415771,0.5814276214621088,3910,(c) The DEPARTMENT shall adopt regulations to govern the notice required by this section in order to effectuate the purposes of this section. 114094. Menu label,6.43,CA-Retail-Food-Code-2025.pdf,FDA-FoodCode-2022-01182023.pdf
semantic chunking,4,5,0.5944802165031433,0.5059348615880539,33368,This record should not be relied upon as an absolute comparison that identifies each and every change. General Numerous editing changes were made throughout the,6.43,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
semantic chunking,5,1,0.7197201251983643,0.7354928356517618,884,"Premises and Facilities 114257. All facilities, equipment, and utensils to be kept clean, operative, and in good repair All PREMISES of a FOOD facility shall be",6.55,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,5,2,0.5937370657920837,0.6187532659014621,647," Ensure all food is obtained from an approved source. VIOLATIONS THAT MAY WARRANT THE IMMEDIATE CLOSURE OF A FACILITY:  Vermin infestation. Keep cockroaches, ",6.55,SCC-DEH-placarding-workshop-handout.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,5,3,0.43016916513442993,0.4252740385595947,5125,"120 114259.3. Insect control devices, design and installation (a) Insect control devices that are used to electrocute or stun flying insects shall be designed t",6.55,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,5,4,0.40860119462013245,0.40811844839055156,1441,"2006. Interactions Affecting the Proliferation and Control of Human Pathogens on Edible Plants. J. Food Sci. 71(8), R89 – R99. FDA Food Code 2022 Annex 2. Refer",6.55,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
semantic chunking,5,5,0.4010513722896576,0.3931589803337454,4816,"Refuse ""REFUSE"" means solid waste not carried by water through the sewage system. 113889. Remodel ""REMODEL"" means construction, building, or repair to the FOOD ",6.55,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,1,1,0.525368869304657,0.2935397853243916,1208,"(II) Safe handling FOOD practices for major FOOD allergens, as defined in Section 113820.5, as they relate to FOOD preparation activities that occur at a FOOD F",22.56,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,1,2,0.4978235363960266,0.5710066543305812,748,The DEPARTMENT may 183 issue rules and regulations as necessary to carry out the purposes of this chapter. 114379.50. Violation; infraction; fine A violation of,22.56,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,1,3,0.49647751450538635,0.517662396422053,885,"Examples of imminent health hazards include but are not limited to: sewage backup, no hot water, no electricity, rodent/insect infestation, or severe unsanitary",22.56,SCC-DEH-placarding-workshop-handout.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,1,4,0.49613064527511597,0.5011041317599763,928,"Violation; infraction; fine A violation of this chapter is, notwithstanding Section 114395, an infraction; provided, however, that the first violation shall res",22.56,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,1,5,0.4942341446876526,0.3646902661226207,1042,"(e) (1) When assessing an administrative fine for a first-time offense, pursuant to this section, the HEARING OFFICER shall take into consideration the person’s",22.56,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,2,1,0.5861526727676392,0.5801755656920109,1076,(B) Lockers or other suitable facilities shall be used for the orderly storage of EMPLOYEE clothing and other possessions. 6-501.111 Controlling Pests. The PREM,7.9,FDA-FoodCode-2022-01182023.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,2,2,0.5834364891052246,0.5633062725763976,651,"Maintaining premises, unnecessary items and litter The PREMISES of a FOOD FACILITY shall be free of litter and items that are unnecessary to the operation or ma",7.9,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,2,3,0.5823701024055481,0.3834119101419098,1197,(b) TEMPORARY FOOD FACILITIES that handle nonPREPACKAGED FOOD shall also protect FOOD from contamination in one of the following ways: (1) Enclosure of the FOOD,7.9,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,2,4,0.5636693835258484,0.4081618910934911,1733,Molluscan shellfish and vended TCS foods must specifically be assessed based on their specific packaging and labeling requirements. Molluscan Shellfish shall no,7.9,FDA-FoodCode-2022-01182023.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,2,5,0.561947762966156,0.41817388487327145,1150,"(ii) No infants, small children, or pets may be in the home kitchen during the preparation, packaging, or handling of any cottage FOOD products. (iii) Kitchen E",7.9,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
sentence-window chunking,3,1,0.6895567774772644,0.6146560362218185,1728,INFORMATION TO ASSIST THE USER The provisions contained in the California Retail Food Code that are applicable to all retail food facilities and cottage food op,6.43,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,3,2,0.6723739504814148,0.676042012768044,1019,"114349. Ceilings and outer exclusionary barriers (a) TEMPORARY FOOD FACILITIES shall be equipped with overhead protection for all FOOD PREPARATION, FOOD storage",6.43,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,3,3,0.6650373935699463,0.661712272949031,3033,"Food Establishment. (1) ""Food establishment"" means an operation that: (a) stores, prepares, packages, serves, vends FOOD directly to the CONSUMER, or otherwise ",6.43,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,3,4,0.6615066528320312,0.6108511273923364,1123,"Applicable requirements All PERMANENT FOOD FACILITIES shall meet the applicable requirements in Chapters 1 to 8, inclusive, and Chapter 13, unless specifically ",6.43,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,3,5,0.6510466933250427,0.6777786267851611,901,"113788. Food employee 19 ""FOOD EMPLOYEE"" means an EMPLOYEE working with FOOD, FOOD EQUIPMENT or UTENSILs, or FOOD-CONTACT SURFACEs. 113789. Food facility (a) ""F",6.43,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,4,1,0.8637304306030273,0.7105227814596875,789,"7-206.13 Tracking Powders, Pest Control and Monitoring. The use of tracking powder pesticides presents the potential for the powder to be dispersed throughout t",6.58,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
sentence-window chunking,4,2,0.8380909562110901,0.7523616439863778,754,"Rodent bait shall be contained in a covered, tamper-resistant bait station. P FDA Food Code 2022 Chapter 8. Compliance and Enforcement Chapter 7 - 5 7-206.13 Tr",6.58,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
sentence-window chunking,4,3,0.7856137156486511,0.7378138361138518,686,"Also, it is easier for pests to transport the potentially toxic bait throughout the establishment. Consequently, the bait may end up on food-contact surfaces an",6.58,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
sentence-window chunking,4,4,0.7105259895324707,0.5816865639084869,324,"References Annex 2 - 62 7-205.11 Incidental Food Contact, Criteria. 1. Code of Federal Regulations, Title 21, Part 178.3570, Lubricants with incidental food con",6.58,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
sentence-window chunking,4,5,0.709489107131958,0.49028209424203273,457,"Appl. Microbiology, 30(2):229-237. FDA Food Code 2022 Annex 2. References Annex 2 - 60 6-501.111 Controlling Pests 1. Monica Pava-Ripoll, Rachel E. Goeriz Pears",6.58,FDA-FoodCode-2022-01182023.pdf,FDA-FoodCode-2022-01182023.pdf
sentence-window chunking,5,1,0.7007582187652588,0.7386158491416781,651,"Maintaining premises, unnecessary items and litter The PREMISES of a FOOD FACILITY shall be free of litter and items that are unnecessary to the operation or ma",6.33,CA-Retail-Food-Code-2025.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,5,2,0.6283925771713257,0.44363924079481454,961,Completely enclosed toilet facilities minimize the potential for the spread of disease by the movement of flies and other insects between the toilet facility an,6.33,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,5,3,0.6255377531051636,0.5812069205812294,774,Insects and other pests are capable of transmitting disease to humans by contaminating food and food-contact surfaces. Effective measures must be taken to elimi,6.33,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,5,4,0.625301718711853,0.4408109596090902,857,"Gloves may serve as a source of cross-contamination if misused. Applicable Code Sections: 3-304.15(B)-(D) Gloves, Use Limitations (C) Utensils, Equipment and Ve",6.33,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
sentence-window chunking,5,5,0.6148390769958496,0.5704283948739202,659,"Prevents the harborage of insects and rodents; and 4. Provides accessibility for the monitoring of pests. 4-402.12 Fixed Equipment, Elevation or Sealing. The in",6.33,FDA-FoodCode-2022-01182023.pdf,CA-Retail-Food-Code-2025.pdf
