temperature,run,timestamp_utc,latency_ms,tags_json,summary
0.7,15,2026-08-31T18:04:09Z,15866,"[""food safety inspections"", ""yakitori hygiene"", ""yakitori restaurant inspections""]","Inspection found live flies and rodent droppings, indicating poor hygiene and pest control."
0.7,16,2026-08-31T18:04:25Z,14296,"[""restaurant hygiene"", ""yakitori restaurant inspections"", ""yakitori restaurant""]","Inspection found live flies and rodent droppings in a yakitori restaurant, raising food safety concerns."
0.7,17,2026-08-31T18:04:39Z,16707,"[""food safety inspections"", ""restaurant hygiene"", ""yakitori restaurant inspections""]","Inspection found live flies and rodent droppings in a yakitori restaurant, showing poor hygiene and pest control."
0.7,18,2026-08-31T18:04:56Z,15574,"[""restaurant hygiene"", ""food safety"", ""yakitori restaurant inspections""]","Yakitori restaurant had live flies and rodent droppings, showing poor hygiene and pest control."
0.7,19,2026-08-31T18:05:12Z,16522,"[""yakitori restaurant inspections"", ""yakitori restaurant"", ""restaurant inspections""]",A yakitori restaurant faced hygiene issues with flies and rodent droppings in storage areas.
0.7,20,2026-08-31T18:05:28Z,15973,"[""yakitori restaurant inspections"", ""food safety inspections"", ""restaurant hygiene""]","A yakitori restaurant inspection found live flies and rodent droppings, showing poor hygiene."
0.0,1,2026-08-31T18:05:44Z,14484,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,2,2026-08-31T18:05:59Z,12658,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,3,2026-08-31T18:06:11Z,12620,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,4,2026-08-31T18:06:24Z,12654,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,5,2026-08-31T18:06:37Z,12634,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,6,2026-08-31T18:06:49Z,12618,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,7,2026-08-31T18:07:02Z,12687,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,8,2026-08-31T18:07:14Z,12611,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,9,2026-08-31T18:07:27Z,12676,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,10,2026-08-31T18:07:40Z,12649,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,11,2026-08-31T18:07:52Z,12614,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,12,2026-08-31T18:08:05Z,12653,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,13,2026-08-31T18:08:18Z,12760,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,14,2026-08-31T18:08:30Z,12879,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,15,2026-08-31T18:08:43Z,12753,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,16,2026-08-31T18:08:56Z,12619,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,17,2026-08-31T18:09:09Z,12682,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,18,2026-08-31T18:09:21Z,12652,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,19,2026-08-31T18:09:34Z,12665,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
0.0,20,2026-08-31T18:09:47Z,12624,"[""restaurant hygiene"", ""yakitori restaurant"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene issues with flies and rodent droppings during inspection.
